accountingDate,securitiesInformationProcessorSymbolIdentifier,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,changePercent,changePreviousNumber,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,settlementDate
20201231,AAALF,Aareal Bank AG AKT,S,OTC,17408,14722,18.24,2686,,0,999.99,,2020-12-31
20201231,AABB,Asia Broadband Inc Common Stoc,S,OTC,839207,20000,4096.04,819207,,66130284,1.00,,2020-12-31
20201231,AACAF,AAC Technologies Holdings Inc,S,OTC,20218661,19782873,2.20,435788,,1333,999.99,,2020-12-31
20201231,AACAY,AAC Technologies Holdings Inc,S,OTC,15802,2575,513.67,13227,,161856,1.00,,2020-12-31
20201231,AACMZ,Asia Cement Corp Global Deposi,S,OTC,4965,4965,0.00,0,,0,999.99,,2020-12-31
20201231,AACTF,AURORA SOLAR TECHNOLOGIES INC,S,OTC,8908,949,838.67,7959,,198089,1.00,,2020-12-31
20201231,AAEEF,Altair Res Inc Common Shares,S,OTC,1000,0,100.00,1000,,1200,1.00,,2020-12-31
20201231,AAGC,All American Gold Corp. Common,S,OTC,14745,0,100.00,14745,,41569243,1.00,,2020-12-31
20201231,AAGFF,Aftermath Silver Ltd Ordinary,S,OTC,33314,33786,-1.40,-472,,568463,1.00,,2020-12-31
20201231,AAGH,America Great Health Common St,S,OTC,10,0,100.00,10,,67018,1.00,,2020-12-31
20201231,AAGIY,AIA Group Ltd. Sponsored Amer,S,OTC,285875,448247,-36.22,-162372,,338572,1.00,,2020-12-31
20201231,AAHIF,Asahi Co Ltd Osaka Ordinary Sh,S,OTC,7826,6600,18.58,1226,,0,999.99,,2020-12-31
20201231,AAIGF,AIA Group Ltd. Ordinary Share,S,OTC,2557213,2082779,22.78,474434,,42184,60.62,,2020-12-31
20201231,AAIRF,American Aires Inc. Common Sha,S,OTC,1007,957,5.22,50,,8068,1.00,,2020-12-31
20201231,AALBF,Aalberts Industries NV Ordinar,S,OTC,12003,13642,-12.01,-1639,,532,22.56,,2020-12-31
20201231,AAMAF,Atlas Mara Co Nvest Ltd. Ordin,S,OTC,6260,15229,-58.89,-8969,,441,14.20,,2020-12-31
20201231,AAMMF,Almadex Minerals Ltd Ordinary,S,OTC,6435,1570,309.87,4865,,110735,1.00,,2020-12-31
20201231,AAMTF,Armada Mercantile Ltd Ordinary,S,OTC,600,0,100.00,600,,2031,1.00,,2020-12-31
20201231,AANNF,Aroundtown SA Ordinary Shares,S,OTC,5752336,6607992,-12.95,-855656,,5091,999.99,,2020-12-31
20201231,AAPJ,AAP Inc. Common Stock,S,OTC,6270,1000,527.00,5270,,6335,1.00,,2020-12-31
20201231,AASP,All-American SportPark Inc. C,S,OTC,10091,191,5183.25,9900,,36612,1.00,,2020-12-31
20201231,AASZF,Atlantic Sapphire AS Common Sh,S,OTC,115755,102788,12.62,12967,,54691,2.12,,2020-12-31
20201231,AATGF,ATI Airtest Technologies Inc O,S,OTC,11450,33500,-65.82,-22050,,159922,1.00,,2020-12-31
20201231,AATRL,AMG Capital  Trust II 5.15% Co,S,OTC,2388,2723,-12.30,-335,,22428,1.00,,2020-12-31
20201231,AATV,Adaptive Ad Systems Inc. NEW,S,OTC,400,364,9.89,36,,1879,1.00,,2020-12-31
20201231,AAUKF,Anglo American plc Ordinary Sh,S,OTC,417761,417464,0.07,297,,18586,22.48,,2020-12-31
20201231,AAVMY,Abn Amro BK N V Amsterdam Brh,S,OTC,5426,17186,-68.43,-11760,,20206,1.00,,2020-12-31
20201231,AAVVF,Advantage Oil & Gas Ltd Ordina,S,OTC,994455,988895,0.56,5560,,67130,14.81,,2020-12-31
20201231,AAVXF,Abivax SA Ordinary Shares (Fra,S,OTC,1143,1900,-39.84,-757,,935,1.22,,2020-12-31
20201231,AAWCD,CANNING STR CORP Common Stock,S,OTC,25,15565,-99.84,-15540,S,1724,1.00,R,2020-12-31
20201231,AAXT,Aamaxan Transport Group Inc.,S,OTC,539,0,100.00,539,,1673,1.00,,2020-12-31
20201231,AAZZF,A2Z Smart Technologies Corp Co,S,OTC,5496,0,100.00,5496,,182434,1.00,,2020-12-31
20201231,ABAKF,ABERDEEN ASIA-PACIFIC INCOME O,S,OTC,9400,9400,0.00,0,,274,34.31,,2020-12-31
20201231,ABBAF,Aberdeen Asian Income Fund Ord,S,OTC,45,45,0.00,0,,0,999.99,,2020-12-31
20201231,ABBRF,Abraplata Resource Corp Ordina,S,OTC,803740,636588,26.26,167152,,1136072,1.00,,2020-12-31
20201231,ABBY,Abby Inc  Common Stock,S,OTC,26928,43954,-38.74,-17026,,573476,1.00,,2020-12-31
20201231,ABCE,ABCO Energy Inc Common Stock,S,OTC,2299,1800,27.72,499,,102977972,1.00,,2020-12-31
20201231,ABCFF,Abacus Mining & Exploration Co,S,OTC,11272,32283,-65.08,-21011,,207290,1.00,,2020-12-31
20201231,ABCP,AmBase Corporation Common Stoc,S,OTC,11614,11000,5.58,614,,6830,1.70,,2020-12-31
20201231,ABCZF,Abcam PLC Ordinary Shares (Uni,S,OTC,4350,4350,0.00,0,,209,20.81,,2020-12-31
20201231,ABDR,Ambassador Food Services Corpo,S,OTC,306,306,0.00,0,,0,999.99,,2020-12-31
20201231,ABEPF,Vision Lithium Inc Ordinary Sh,S,OTC,5853,0,100.00,5853,,171874,1.00,,2020-12-31
20201231,ABFOF,Abertis Infraestructuras SA Or,S,OTC,73,73,0.00,0,,0,999.99,,2020-12-31
20201231,ABGOF,Abengoa Sa Ordinary Shares (Sp,S,OTC,35025,35067,-0.12,-42,,9,999.99,,2020-12-31
20201231,ABILF,Ability Inc.  Ordinary Shares,S,OTC,5341,5341,0.00,0,,20685,1.00,,2020-12-31
20201231,ABKB,American Basketball Associatio,S,OTC,2005,1885,6.37,120,,7713,1.00,,2020-12-31
20201231,ABLGF,Alten Boulogne-Billancourt Ord,S,OTC,290,295,-1.69,-5,,0,999.99,,2020-12-31
20201231,ABLZF,Abb Ltd Reg Ordinary Shares,S,OTC,4508070,4551618,-0.96,-43548,,15424,292.28,,2020-12-31
20201231,ABMAF,Albioma Ordinary Shares (Franc,S,OTC,361,361,0.00,0,,57,6.33,,2020-12-31
20201231,ABML,American Battery Metals Corpor,S,OTC,2371537,297320,697.64,2074217,,44499559,1.00,,2020-12-31
20201231,ABMRF,ABN Amro BK NV Depositary Rece,S,OTC,6652917,4818701,38.06,1834216,,2,999.99,,2020-12-31
20201231,ABNAF,Aben Resources Ltd. Ordinary,S,OTC,89346,154517,-42.18,-65171,,254434,1.00,,2020-12-31
20201231,ABOIF,Aboitiz Equity Ventures Inc Or,S,OTC,8805,8500,3.59,305,,0,999.99,,2020-12-31
20201231,ABPGF,ALIBABA PICTURES GROUP Ltd SHS,S,OTC,83504958,83512926,-0.01,-7968,,12727,999.99,,2020-12-31
20201231,ABPR,Airborne Security & Protective,S,OTC,32877,32877,0.00,0,,735980,1.00,,2020-12-31
20201231,ABSCF,AB Science Paris Ordinary Sha,S,OTC,497198,232897,113.48,264301,,13225,37.60,,2020-12-31
20201231,ABSSF,Airboss Of America Corp New Or,S,OTC,45887,30065,52.63,15822,,2187,20.98,,2020-12-31
20201231,ABTI,Alterola Biotech Inc. Common,S,OTC,503,503,0.00,0,,40,12.58,,2020-12-31
20201231,ABTZY,Aboitiz Equity Ventures Inc. U,S,OTC,400,0,100.00,400,,2,200.00,,2020-12-31
20201231,ABVC,American BriVision (Holding) C,S,OTC,400,0,100.00,400,,4266,1.00,,2020-12-31
